city,country,continent,area_total,population_total,popdens,nbhd_num,GDPpc_mean,income_mean,PM25_mean,PM25.UESI,NO2_mean,NO2.UESI,UHI_mean,UHI.UESI,TREECAP_mean,TREECAP.UESI,PUBTRANS_mean,PUBTRANS.UESI,TRANSCOV_mean,TRANSCOV.UESI
madrid,Spain,Europe,604422708.8,3196327,5288.231156,21,999.415473,39208.52381,10.5873238,88.6,9.957057192,71.89,3.924721143,59.06,24.73295411,81.03,506.4231228,93.18,0.815056809,94.98
malaga,Spain,Europe,398205225.7,575127,1444.297972,11,485.1575805,19009.7,8.666045477,95.89,8.627406458,77.8,5.349909473,54.22,332.7173598,78.3,2115.615101,66.13,0.554638681,80.51
managua,Nicaragua,North America,273600000,1254878,4586.542398,7,81.3825555,NA,4.113514231,100,3.882749543,91.46,13.50230453,11.97,111.3139944,99.91,895.9334693,89,0.496145326,84.2
manaus,Brazil,South America,492319098.5,1790164,3636.186379,63,1997.821227,NA,8.305048024,99.91,7.422727201,83.4,12.62230308,15.87,452.4456104,91.42,1201.630184,78.07,0.125366376,33.74
manila,Philippines,Asia,559157580.2,12877253,23029.73876,17,209.0720628,91055.34429,17.55268233,40.76,16.3747895,52.36,16.37755806,0.81,5.046490495,84.44,1731.731118,79.65,0.293992593,62.35
maputo,Mozambique,Africa,306164747.9,1101170,3596.65836,7,40.50545829,NA,5.875847586,100,8.756119943,76.69,11.47570757,23.4,1403.863016,100,611.319136,100,0.371179755,61.43
marseille,France,Europe,233584891.7,849881,3638.424532,110,9257.117825,NA,10.47144474,84.52,8.001717008,80.69,0.309455723,76.4,169.465816,71.98,345.8886821,97.99,0.79881466,92.14
medellin,Colombia,South America,302884985.4,2446297,8076.653245,20,773.3455527,NA,7.271868913,100,7.172420568,85.32,10.90059746,25.01,520.9065955,96.15,1204.66928,80.35,0.362955823,60.88
melbourne,Australia,Oceania,450309649.8,1442224,3202.738384,93,291691.7797,74862.87097,3.606796503,100,3.536119561,92.21,2.728170763,64.3,2357.046054,99.72,434.0490598,99.27,0.81364997,95.05
mexico,Mexico,North America,1498600000,8918653,5951.323235,16,531.3510823,54972.21875,20.70802596,30.18,20.57240175,42.87,6.662605917,47.12,134.9847883,91.27,2317.435889,61.06,0.420059705,69.41
miami,United States of America,North America,135019938.7,491439,3639.75132,106,23786.08893,42584.33654,3.617753432,100,3.908743677,91.45,10.50975382,29.41,26.95648043,74.75,224.1870101,99.73,0.913811119,97.69
milan,Italy,Europe,181514238.2,1353882,7458.819834,9,1124.255673,19155.22222,27.11282832,7.23,26.95316928,29.44,0.987123836,73.42,6.987245802,89.92,242.7618242,100,0.904406223,99.23
milwaukee,United States of America,North America,288181675.3,609779,2115.953415,212,21270.69254,39346.24057,10.72668438,87.82,10.50381658,69.96,-1.546847087,84.08,137.1827221,98.93,579.8305876,95.16,0.15136226,22.7
minneapolis,United States of America,North America,150782413.6,411452,2728.77977,116,16026.06199,59473.38793,8.829659301,100,8.688654309,76.97,-3.677286717,91.14,186.2450903,99.47,195.0039215,100,0.918839002,98.93
monrovia,Liberia,Africa,196584984.7,970824,4938.444313,165,716.6920086,NA,7.891521967,100,7.660386813,82.96,9.264832569,36.83,377.1034675,97.94,235.8676823,100,0.010703982,1.2
montevideo,Uruguay,South America,528352083.3,1318185,2494.898841,62,3014.565294,NA,6.915744564,100,7.054700852,84.99,1.319158161,71.57,47.43027301,64.31,1380.598842,71.17,0.071720282,16.43
montreal,Canada,North America,616713041.2,1961019,3179.791684,34,3621.998831,109246.2059,7.231152637,100,7.173573498,85.18,-4.438502185,92.17,384.1712742,99.78,409.2166576,96.91,0.740511151,90.1
moscow,Russia,Europe,1001877672,11564258,11542.58481,117,1265.683022,NA,20.54838064,30.47,20.51229628,43.2,-7.35920511,98.08,37.63565479,99.12,286.738575,99,0.884812046,98.37
munich,Germany,Europe,309851413,1542860,4979.354411,25,1232.203881,NA,13.99985189,55.51,14.0769919,57.84,-3.351204167,90.32,59.62274178,98.87,304.8869471,100,0.901268758,98.88
nairobi,Kenya,Africa,711082938,3078180,4328.862128,17,382.802383,NA,9.117798258,100,8.98231107,75.96,11.26616454,24.73,170.3683363,98.9,1683.54466,62.33,0.187214186,56.74
nanjing,China,Asia,6595700000,8335000,1263.702109,11,9.459926843,53159.45455,56.70643377,0,56.31283002,0.07,-0.462861432,80.42,117.1088016,90.94,3799.40205,48.14,0.335032611,70.07
nashville,United States of America,North America,1352294962,671149,496.303705,159,4335.120536,57936.71795,9.362030636,98.2,9.242999136,74.7,2.041461978,68.17,1494.04635,100,1049.983291,88.13,0.032432798,8.26
newyork,United States of America,North America,778557783.7,8537735,10966.09035,55,2468.027455,60886.90909,10.80543716,86.59,10.58693596,69.8,-1.544794695,84.19,24.48941367,90.84,313.9444461,99.8,0.888108591,98.33
niamey,Niger,Africa,559300000,1026848,1835.952083,5,11.44258832,NA,4.629630554,100,4.616804666,90.08,17.28946576,0,6.058990938,79.33,6357.628832,0,0.015583194,27.14
nizhny,Russia,Europe,464300000,1259013,2711.636873,8,219.7555817,NA,14.96048473,50.84,14.82623067,55.36,-10.93439896,100,171.7290297,100,939.7699104,91.75,0.490609404,85.08
nouakchott,Mauritania,Africa,278109564.7,558195,2007.104648,9,123.7623337,NA,1.540119378,100,1.51146864,96.79,15.62418924,3.38,0.005685395,5.69,2405.834363,33.33,0.015274434,14.63
